metric_id,category,catalogue_status,dashboard_alignment_status,cube_view,cube_measure,measure_present_in_serve_view,dashboard_recon_verdict,catalogue_path
meta_breakdown_link_clicks,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_link_clicks,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_link_clicks.yaml
meta_breakdown_spend,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_spend,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_spend.yaml
meta_breakdown_thruplays,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_thruplays,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_thruplays.yaml
meta_breakdown_video_completion_rate,paid_media,draft,not_implemented,meta_ad_breakdown_performance,meta_ad_breakdown_performance.meta_video_completion_rate,yes,,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_breakdown_video_completion_rate.yaml
meta_clicks,paid_media,certified,match,meta_ad_performance,meta_ad_performance.meta_clicks,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_clicks.yaml
meta_cost_per_landing_page_view,paid_media,certified,drift_corrected,meta_ad_performance,meta_ad_performance.meta_cost_per_landing_page_view,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_cost_per_landing_page_view.yaml
meta_cost_per_link_click,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_cost_per_link_click,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_cost_per_link_click.yaml
meta_cost_per_thruplay,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_cost_per_thruplay,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_cost_per_thruplay.yaml
meta_cpc,paid_media,certified,match,meta_ad_performance,meta_ad_performance.meta_cpc,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_cpc.yaml
meta_cpm,paid_media,certified,match,meta_ad_performance,meta_ad_performance.meta_cpm,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_cpm.yaml
meta_ctr,paid_media,certified,drift_corrected,meta_ad_performance,meta_ad_performance.meta_ctr,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_ctr.yaml
meta_frequency,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_frequency,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_frequency.yaml
meta_hold_rate_15s,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_hold_rate_15s,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_hold_rate_15s.yaml
meta_hook_rate,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_hook_rate,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_hook_rate.yaml
meta_impressions,paid_media,certified,match,meta_ad_performance,meta_ad_performance.meta_impressions,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_impressions.yaml
meta_landing_page_views,paid_media,certified,drift_corrected,meta_ad_performance,meta_ad_performance.meta_landing_page_views,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_landing_page_views.yaml
meta_link_clicks,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_link_clicks,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_link_clicks.yaml
meta_reach,paid_media_diagnostic,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_reach,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_reach.yaml
meta_spend,paid_media,certified,match,meta_ad_performance,meta_ad_performance.meta_spend,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_spend.yaml
meta_thruplays,paid_media,draft,not_implemented,meta_ad_performance,meta_ad_performance.meta_thruplays,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\meta_thruplays.yaml
