metric_id,category,catalogue_status,dashboard_alignment_status,cube_view,cube_measure,measure_present_in_serve_view,dashboard_recon_verdict,catalogue_path
amazon_marketplace_fees,commerce,draft,unclear,amazon_commerce_performance,amazon_commerce_performance.marketplace_fees,yes,unclear,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_marketplace_fees.yaml
amazon_net_payout,commerce,certified,match,amazon_commerce_performance,amazon_commerce_performance.marketplace_net_payout,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_net_payout.yaml
amazon_net_sales,commerce,certified,drift_corrected,sales_all_channels,sales_all_channels.amazon_net_sales,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_net_sales.yaml
amazon_orders,commerce,certified,match,orders_all_channels,orders_all_channels.amazon_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_orders.yaml
amazon_platform_fees,finance,certified,drift_corrected,amazon_daily_pnl,amazon_daily_pnl.marketplace_fees,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_platform_fees.yaml
amazon_return_revenue,commerce,certified,drift_corrected,amazon_commerce_performance,amazon_commerce_performance.returned_revenue,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_return_revenue.yaml
amazon_returned_orders,commerce,certified,drift_corrected,amazon_commerce_performance,amazon_commerce_performance.returned_orders,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_returned_orders.yaml
amazon_returns_cancels,commerce,certified,match,amazon_commerce_performance,amazon_commerce_performance.returns_cancels,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_returns_cancels.yaml
amazon_total_sales,commerce,certified,drift_corrected,sales_all_channels,sales_all_channels.amazon_total_sales,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\amazon_total_sales.yaml
aov,commerce,certified,drift_corrected,commerce_orders,commerce_orders.aov,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\aov.yaml
attributed_aov,attribution,certified,match,order_attribution,order_attribution.attributed_aov,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\attributed_aov.yaml
attributed_gross_revenue,attribution,certified,match,order_attribution,order_attribution.attributed_gross_revenue,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\attributed_gross_revenue.yaml
attributed_net_revenue,attribution,certified,match,order_attribution,order_attribution.attributed_net_revenue,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\attributed_net_revenue.yaml
attributed_new_customer_orders,attribution,certified,match,order_attribution,order_attribution.new_customer_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\attributed_new_customer_orders.yaml
attributed_orders,attribution,certified,match,order_attribution,order_attribution.attributed_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\attributed_orders.yaml
attributed_refund_amount,attribution,certified,drift_corrected,order_attribution,order_attribution.attributed_refund_amount,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\attributed_refund_amount.yaml
attribution_rate,attribution,draft,not_implemented,order_attribution,order_attribution.attribution_rate,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\attribution_rate.yaml
average_selling_price,product,draft,not_implemented,product_performance,product_performance.average_selling_price,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\average_selling_price.yaml
avg_attribution_confidence,attribution,draft,not_implemented,order_attribution,order_attribution.avg_attribution_confidence,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\avg_attribution_confidence.yaml
avg_days_between_orders,customer,draft,not_implemented,purchase_sequence,purchase_sequence.avg_days_between_orders,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\avg_days_between_orders.yaml
avg_days_since_last_order,customer,draft,not_implemented,customer_ltv,customer_ltv.avg_days_since_last_order,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\avg_days_since_last_order.yaml
avg_ltv,customer,draft,not_implemented,customer_ltv,customer_ltv.avg_ltv,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\avg_ltv.yaml
avg_orders_per_customer,customer,draft,not_implemented,customer_ltv,customer_ltv.avg_orders_per_customer,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\avg_orders_per_customer.yaml
be_roas,finance,certified,match,canonical_pnl,canonical_pnl.be_roas,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\be_roas.yaml
bounce_rate,web_analytics,certified,drift_corrected,funnel_daily,funnel_daily.bounce_rate,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\bounce_rate.yaml
cancel_revenue,commerce,certified,match,canonical_pnl,canonical_pnl.cancel_revenue,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\cancel_revenue.yaml
cancelled_orders,commerce,certified,match,commerce_orders,commerce_orders.cancelled_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\cancelled_orders.yaml
channel_gross_revenue,attribution,draft,not_implemented,channel_attribution,channel_attribution.gross_revenue,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\channel_gross_revenue.yaml
channel_net_revenue,attribution,draft,not_implemented,channel_attribution,channel_attribution.net_revenue_excl_tax,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\channel_net_revenue.yaml
channel_orders,attribution,draft,not_implemented,channel_attribution,channel_attribution.orders,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\channel_orders.yaml
cod_orders,commerce,certified,match,commerce_orders,commerce_orders.cod_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\cod_orders.yaml
collection_views,web_analytics,certified,not_implemented,web_events_daily,web_events_daily.collection_views,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\collection_views.yaml
commerce_net_revenue,commerce,certified,match,commerce_orders,commerce_orders.dashboard_net_sales_excl_tax,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\commerce_net_revenue.yaml
commerce_net_revenue_daily,commerce,certified,match,commerce_performance,commerce_performance.commerce_net_revenue,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\commerce_net_revenue_daily.yaml
contribution_margin,finance,certified,match,canonical_pnl,canonical_pnl.contribution_margin,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\contribution_margin.yaml
contribution_margin_pct,finance,certified,not_implemented,canonical_pnl,canonical_pnl.contribution_margin_pct,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\contribution_margin_pct.yaml
cost_coverage_pct,finance,draft,not_implemented,canonical_pnl,canonical_pnl.cost_coverage_pct,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\cost_coverage_pct.yaml
customer_profiles,customer,draft,not_implemented,customer_data,customer_data.customers,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\customer_profiles.yaml
customers,customer,certified,drift_corrected,customer_ltv,customer_ltv.customers,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\customers.yaml
discounts,commerce,certified,match,commerce_orders,commerce_orders.discount_amount_excl_tax,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\discounts.yaml
event_cancel_revenue,commerce,certified,match,commerce_orders,commerce_orders.cancel_revenue_excl_tax,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\event_cancel_revenue.yaml
event_return_revenue,commerce,certified,match,commerce_orders,commerce_orders.return_revenue_excl_tax,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\event_return_revenue.yaml
events_per_session,web_analytics,certified,not_implemented,web_events,web_events.events_per_session,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\events_per_session.yaml
first_orders,customer,certified,drift_corrected,purchase_sequence,purchase_sequence.first_orders,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\first_orders.yaml
funnel_conversion_rate,web_analytics,certified,unclear,funnel_daily,funnel_daily.funnel_conversion_rate,yes,unclear,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\funnel_conversion_rate.yaml
funnel_purchases,web_analytics,certified,drift_corrected,funnel_daily,funnel_daily.purchases,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\funnel_purchases.yaml
funnel_revenue,web_analytics,certified,drift_corrected,funnel_daily,funnel_daily.revenue,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\funnel_revenue.yaml
google_attribution_gross_sales,attribution,certified,match,platform_attribution_commerce,platform_attribution_commerce.google_gross_sales,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_attribution_gross_sales.yaml
google_attribution_net_sales,attribution,certified,match,platform_attribution_commerce,platform_attribution_commerce.google_net_sales,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_attribution_net_sales.yaml
google_attribution_orders,attribution,certified,match,platform_attribution_commerce,platform_attribution_commerce.google_orders,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_attribution_orders.yaml
google_attribution_total_sales,attribution,certified,match,platform_attribution_commerce,platform_attribution_commerce.google_total_sales,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_attribution_total_sales.yaml
google_clicks,paid_media,certified,match,google_ad_performance,google_ad_performance.google_clicks,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_clicks.yaml
google_cpc,paid_media,certified,match,google_ad_performance,google_ad_performance.google_cpc,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_cpc.yaml
google_cpm,paid_media,certified,match,google_ad_performance,google_ad_performance.google_cpm,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_cpm.yaml
google_ctr,paid_media,certified,drift_corrected,google_ad_performance,google_ad_performance.google_ctr,yes,drift,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_ctr.yaml
google_impressions,paid_media,certified,match,google_ad_performance,google_ad_performance.google_impressions,yes,match,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_impressions.yaml
google_interaction_rate,paid_media,draft,not_implemented,google_ad_performance,google_ad_performance.google_interaction_rate,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_interaction_rate.yaml
google_interactions,paid_media,draft,not_implemented,google_ad_performance,google_ad_performance.google_interactions,yes,not_found,c:\SpacePeppers\SpacePeppers\Base_Agent\catalogue\metrics\google_interactions.yaml
